x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
248,116,13:22:27:906,Square,0,0,1440,900
501,118,13:22:28:057,Square,5978,152,1440,900
767,171,13:22:28:207,Square,151,90,1440,900
END_OF_STROKE,0,0,13:22:28:398,END_OF_STROKE,0,0,0
253,125,13:22:28:866,Square,-1009,-110,1440,900
618,212,13:22:29:024,Square,7534,2553,1440,900
786,270,13:22:29:224,Square,18,0,1440,900
END_OF_STROKE,0,0,13:22:29:284,END_OF_STROKE,0,0,0
233,137,13:22:29:775,Square,-1348,-370,1440,900
775,371,13:22:29:931,Square,1595,1215,1440,900
809,391,13:22:30:090,Square,0,0,1440,900
END_OF_STROKE,0,0,13:22:30:235,END_OF_STROKE,0,0,0
239,120,13:22:30:920,Square,-996,-548,1440,900
519,225,13:22:31:072,Square,5088,2970,1440,900
789,418,13:22:31:223,Square,60,145,1440,900
804,422,13:22:31:386,Square,161,0,1440,900
748,401,13:22:31:539,Square,-738,-161,1440,900
733,400,13:22:31:706,Square,0,0,1440,900
END_OF_STROKE,0,0,13:22:31:716,END_OF_STROKE,0,0,0
211,106,13:22:32:663,Square,-665,-447,1440,900
250,130,13:22:32:820,Square,2643,1989,1440,900
751,495,13:22:32:986,Square,1208,1957,1440,900
790,537,13:22:33:138,Square,71,0,1440,900
END_OF_STROKE,0,0,13:22:33:190,END_OF_STROKE,0,0,0
168,533,13:22:33:954,Purple Diamond,-980,2,1440,900
260,533,13:22:34:104,Purple Diamond,2353,0,1440,900
734,551,13:22:34:254,Purple Diamond,498,170,1440,900
752,567,13:22:34:405,Purple Diamond,142,170,1440,900
786,551,13:22:34:571,Purple Diamond,0,0,1440,900
END_OF_STROKE,0,0,13:22:34:596,END_OF_STROKE,0,0,0
168,381,13:22:35:171,Hexagon,-1292,-425,1440,900
495,381,13:22:35:335,Hexagon,8056,0,1440,900
749,402,13:22:35:562,Hexagon,-11,0,1440,900
608,411,13:22:35:718,Hexagon,-322,0,1440,900
606,409,13:22:35:868,Hexagon,0,-85,1440,900
END_OF_STROKE,0,0,13:22:35:869,END_OF_STROKE,0,0,0
191,359,13:22:36:285,Hexagon,-1203,-173,1440,900
511,285,13:22:36:436,Hexagon,8232,-1989,1440,900
705,268,13:22:36:716,Hexagon,0,0,1440,900
END_OF_STROKE,0,0,13:22:36:737,END_OF_STROKE,0,0,0
181,281,13:22:38:408,Right Triangle,-377,13,1440,900
289,282,13:22:38:568,Right Triangle,640,85,1440,900
361,292,13:22:38:717,Right Triangle,382,0,1440,900
577,260,13:22:38:883,Right Triangle,498,0,1440,900
222,212,13:22:39:049,Right Triangle,-2346,170,1440,900
151,225,13:22:39:199,Right Triangle,-227,90,1440,900
114,251,13:22:39:350,Right Triangle,0,80,1440,900
190,284,13:22:39:515,Right Triangle,71,0,1440,900
186,284,13:22:39:666,Right Triangle,-81,0,1440,900
172,283,13:22:39:818,Right Triangle,-64,0,1440,900
172,283,13:22:39:997,Right Triangle,0,0,1440,900
172,283,13:22:40:147,Right Triangle,0,0,1440,900
178,282,13:22:40:301,Right Triangle,0,0,1440,900
