x,y,timestamp,shape,x(px/s^2),y(px/s^2),screenWidth,screenHeight
179,111,23:15:11:248,Circle,0,0,1440,900
370,239,23:15:11:410,Circle,2690,2380,1440,900
456,313,23:15:11:560,Circle,0,0,1440,900
476,490,23:15:11:725,Circle,1578,3003,1440,900
522,539,23:15:11:875,Circle,25,0,1440,900
494,458,23:15:12:042,Circle,-82,-235,1440,900
END_OF_STROKE,0,0,23:15:12:194,END_OF_STROKE,0,0,0
141,115,23:15:12:738,Circle,-730,-796,1440,900
272,194,23:15:12:891,Circle,1879,1888,1440,900
491,430,23:15:13:041,Circle,1052,1544,1440,900
550,527,23:15:13:327,Circle,9,11,1440,900
566,508,23:15:13:477,Circle,137,-208,1440,900
565,473,23:15:13:643,Circle,-64,0,1440,900
565,473,23:15:13:811,Circle,0,0,1440,900
END_OF_STROKE,0,0,23:15:13:845,END_OF_STROKE,0,0,0
134,93,23:15:15:137,Square,-425,-427,1440,900
595,296,23:15:15:290,Square,2330,1544,1440,900
END_OF_STROKE,0,0,23:15:15:492,END_OF_STROKE,0,0,0
142,98,23:15:16:459,Square,-562,-286,1440,900
348,299,23:15:16:622,Square,559,1003,1440,900
393,330,23:15:16:772,Square,341,0,1440,900
471,346,23:15:16:922,Square,676,257,1440,900
END_OF_STROKE,0,0,23:15:17:031,END_OF_STROKE,0,0,0
136,92,23:15:17:905,Square,-471,-405,1440,900
558,302,23:15:18:055,Square,3232,2488,1440,900
635,367,23:15:18:206,Square,67,230,1440,900
653,390,23:15:18:357,Square,0,77,1440,900
599,371,23:15:18:522,Square,-399,-182,1440,900
574,359,23:15:18:672,Square,0,0,1440,900
END_OF_STROKE,0,0,23:15:18:746,END_OF_STROKE,0,0,0
78,279,23:15:21:137,Right Triangle,-259,-48,1440,900
246,308,23:15:21:303,Right Triangle,4209,1373,1440,900
369,368,23:15:21:452,Right Triangle,80,91,1440,900
387,374,23:15:21:620,Right Triangle,471,230,1440,900
409,399,23:15:21:771,Right Triangle,128,365,1440,900
415,416,23:15:21:953,Right Triangle,37,0,1440,900
END_OF_STROKE,0,0,23:15:21:981,END_OF_STROKE,0,0,0
83,282,23:15:22:613,Right Triangle,-643,-296,1440,900
352,298,23:15:22:770,Right Triangle,7596,1135,1440,900
574,376,23:15:22:934,Right Triangle,0,91,1440,900
597,375,23:15:23:085,Right Triangle,1278,-97,1440,900
